studentId,courseCode,day,period,roomNumber
18,MADR 3206,T,7,Room 9
18,MADR 3206,TH,7,Room 9
18,MADR 3206,W,7,Room 9
18,MADR 3711,T,1,Room 1
18,MADR 3711,TH,1,Room 1
19,MADR 3002,T,5,Room 2
19,MADR 3002,TH,5,Room 2
19,MADR 3008,T,6,Room 3
19,MADR 3008,TH,6,Room 3
19,MADR 3023,M,7,Room 1
19,MADR 3023,T,7,Room 1
19,MADR 3023,TH,7,Room 1
19,MADR 3023,W,7,Room 1
19,MADR 3206,M,7,Room 9
19,MADR 3206,T,7,Room 9
19,MADR 3206,TH,7,Room 9
19,MADR 3206,W,7,Room 9
20,MADR 3006,M,2,Room 7
20,MADR 3006,W,2,Room 7
20,MADR 3019,TH,6,Room 7
20,MADR 3025,M,7,Room 7
20,MADR 3025,T,7,Room 7
20,MADR 3025,TH,7,Room 7
20,MADR 3025,W,7,Room 7
20,MADR 3711,T,1,Room 1
20,MADR 3711,TH,1,Room 1
21,MADR 3024,M,2,Room 2
21,MADR 3024,W,2,Room 2
21,MADR 3026,M,6,Room 5
21,MADR 3026,T,6,Room 5
21,MADR 3026,TH,6,Room 5
21,MADR 3026,W,6,Room 5
21,MADR 4041,M,7,Room 4
21,MADR 4041,T,7,Room 4
21,MADR 4041,TH,7,Room 4
21,MADR 4041,W,7,Room 4
21,MADR 4611,M,6,Room 9
21,MADR 4611,T,6,Room 9
21,MADR 4611,TH,6,Room 9
21,MADR 4611,W,6,Room 9
22,MADR 3024,M,2,Room 2
22,MADR 3024,W,2,Room 2
22,MADR 3025,M,7,Room 7
22,MADR 3025,T,7,Room 7
22,MADR 3025,TH,7,Room 7
